Video Publish Time,Publish Hour,Publish Month,Publish Year,Day of Week
2016-06-02 00:00:00,0,June,2016,Thursday
2016-06-10 00:00:00,0,June,2016,Friday
2016-06-14 00:00:00,0,June,2016,Tuesday
2016-06-29 00:00:00,0,June,2016,Wednesday
2016-07-01 00:00:00,0,July,2016,Friday
2016-07-08 00:00:00,0,July,2016,Friday
2016-08-05 00:00:00,0,August,2016,Friday
2016-08-08 00:00:00,0,August,2016,Monday
2016-08-11 00:00:00,0,August,2016,Thursday
2016-08-12 00:00:00,0,August,2016,Friday
2016-08-17 00:00:00,0,August,2016,Wednesday
2016-09-05 00:00:00,0,September,2016,Monday
2016-09-11 00:00:00,0,September,2016,Sunday
2016-09-18 00:00:00,0,September,2016,Sunday
2016-10-01 00:00:00,0,October,2016,Saturday
2016-10-12 00:00:00,0,October,2016,Wednesday
2016-10-15 00:00:00,0,October,2016,Saturday
2016-10-20 00:00:00,0,October,2016,Thursday
2016-10-26 00:00:00,0,October,2016,Wednesday
2016-10-29 00:00:00,0,October,2016,Saturday
2016-11-02 00:00:00,0,November,2016,Wednesday
2016-11-03 00:00:00,0,November,2016,Thursday
2016-11-05 00:00:00,0,November,2016,Saturday
2016-11-06 00:00:00,0,November,2016,Sunday
2016-11-08 00:00:00,0,November,2016,Tuesday
2016-11-09 00:00:00,0,November,2016,Wednesday
2016-11-12 00:00:00,0,November,2016,Saturday
2016-11-15 00:00:00,0,November,2016,Tuesday
2016-11-20 00:00:00,0,November,2016,Sunday
2016-11-23 00:00:00,0,November,2016,Wednesday
2016-11-25 00:00:00,0,November,2016,Friday
2016-11-27 00:00:00,0,November,2016,Sunday
2016-12-05 00:00:00,0,December,2016,Monday
2016-12-10 00:00:00,0,December,2016,Saturday
2016-12-17 00:00:00,0,December,2016,Saturday
2016-12-18 00:00:00,0,December,2016,Sunday
2016-12-24 00:00:00,0,December,2016,Saturday
2016-12-25 00:00:00,0,December,2016,Sunday
2016-12-26 00:00:00,0,December,2016,Monday
2016-12-31 00:00:00,0,December,2016,Saturday
2017-01-01 00:00:00,0,January,2017,Sunday
2017-01-02 00:00:00,0,January,2017,Monday
2017-01-07 00:00:00,0,January,2017,Saturday
2017-01-15 00:00:00,0,January,2017,Sunday
2017-01-24 00:00:00,0,January,2017,Tuesday
2017-01-28 00:00:00,0,January,2017,Saturday
2017-01-29 00:00:00,0,January,2017,Sunday
2017-01-31 00:00:00,0,January,2017,Tuesday
2017-02-04 00:00:00,0,February,2017,Saturday
2017-02-07 00:00:00,0,February,2017,Tuesday
2017-02-10 00:00:00,0,February,2017,Friday
2017-02-18 00:00:00,0,February,2017,Saturday
2017-02-22 00:00:00,0,February,2017,Wednesday
2017-02-23 00:00:00,0,February,2017,Thursday
2017-02-23 00:00:00,0,February,2017,Thursday
2017-02-25 00:00:00,0,February,2017,Saturday
2017-02-27 00:00:00,0,February,2017,Monday
2017-03-03 00:00:00,0,March,2017,Friday
2017-03-04 00:00:00,0,March,2017,Saturday
2017-03-04 00:00:00,0,March,2017,Saturday
2017-03-06 00:00:00,0,March,2017,Monday
2017-03-11 00:00:00,0,March,2017,Saturday
2017-03-18 00:00:00,0,March,2017,Saturday
2017-03-22 00:00:00,0,March,2017,Wednesday
2017-03-23 00:00:00,0,March,2017,Thursday
2017-03-24 00:00:00,0,March,2017,Friday
2017-03-24 00:00:00,0,March,2017,Friday
2017-03-26 00:00:00,0,March,2017,Sunday
2017-03-28 00:00:00,0,March,2017,Tuesday
2017-03-30 00:00:00,0,March,2017,Thursday
2017-04-05 00:00:00,0,April,2017,Wednesday
2017-04-08 00:00:00,0,April,2017,Saturday
2017-04-10 00:00:00,0,April,2017,Monday
2017-04-12 00:00:00,0,April,2017,Wednesday
2017-04-16 00:00:00,0,April,2017,Sunday
2017-04-20 00:00:00,0,April,2017,Thursday
2017-04-22 00:00:00,0,April,2017,Saturday
2017-04-30 00:00:00,0,April,2017,Sunday
2017-04-30 00:00:00,0,April,2017,Sunday
2017-05-01 00:00:00,0,May,2017,Monday
2017-05-03 00:00:00,0,May,2017,Wednesday
2017-05-09 00:00:00,0,May,2017,Tuesday
2017-05-11 00:00:00,0,May,2017,Thursday
2017-05-13 00:00:00,0,May,2017,Saturday
2017-05-17 00:00:00,0,May,2017,Wednesday
2017-05-18 00:00:00,0,May,2017,Thursday
2017-05-23 00:00:00,0,May,2017,Tuesday
2017-05-25 00:00:00,0,May,2017,Thursday
2017-05-27 00:00:00,0,May,2017,Saturday
2017-05-30 00:00:00,0,May,2017,Tuesday
2017-06-01 00:00:00,0,June,2017,Thursday
2017-06-03 00:00:00,0,June,2017,Saturday
2017-06-07 00:00:00,0,June,2017,Wednesday
2017-06-09 00:00:00,0,June,2017,Friday
2017-06-09 00:00:00,0,June,2017,Friday
2017-06-11 00:00:00,0,June,2017,Sunday
2017-06-13 00:00:00,0,June,2017,Tuesday
2017-06-14 00:00:00,0,June,2017,Wednesday
2017-06-17 00:00:00,0,June,2017,Saturday
2017-06-19 00:00:00,0,June,2017,Monday
2017-06-21 00:00:00,0,June,2017,Wednesday
2017-06-23 00:00:00,0,June,2017,Friday
2017-06-25 00:00:00,0,June,2017,Sunday
2017-06-27 00:00:00,0,June,2017,Tuesday
2017-06-29 00:00:00,0,June,2017,Thursday
2017-07-02 00:00:00,0,July,2017,Sunday
2017-07-04 00:00:00,0,July,2017,Tuesday
2017-07-05 00:00:00,0,July,2017,Wednesday
2017-07-05 00:00:00,0,July,2017,Wednesday
2017-07-06 00:00:00,0,July,2017,Thursday
2017-07-08 00:00:00,0,July,2017,Saturday
2017-07-10 00:00:00,0,July,2017,Monday
2017-07-12 00:00:00,0,July,2017,Wednesday
2017-07-14 00:00:00,0,July,2017,Friday
2017-07-15 00:00:00,0,July,2017,Saturday
2017-07-17 00:00:00,0,July,2017,Monday
2017-07-19 00:00:00,0,July,2017,Wednesday
2017-07-21 00:00:00,0,July,2017,Friday
2017-07-24 00:00:00,0,July,2017,Monday
2017-07-25 00:00:00,0,July,2017,Tuesday
2017-07-27 00:00:00,0,July,2017,Thursday
2017-07-31 00:00:00,0,July,2017,Monday
2017-08-02 00:00:00,0,August,2017,Wednesday
2017-08-04 00:00:00,0,August,2017,Friday
2017-08-05 00:00:00,0,August,2017,Saturday
2017-08-07 00:00:00,0,August,2017,Monday
2017-08-08 00:00:00,0,August,2017,Tuesday
2017-08-11 00:00:00,0,August,2017,Friday
2017-08-14 00:00:00,0,August,2017,Monday
2017-08-16 00:00:00,0,August,2017,Wednesday
2017-08-19 00:00:00,0,August,2017,Saturday
2017-08-20 00:00:00,0,August,2017,Sunday
2017-08-21 00:00:00,0,August,2017,Monday
2017-08-23 00:00:00,0,August,2017,Wednesday
2017-08-25 00:00:00,0,August,2017,Friday
2017-08-28 00:00:00,0,August,2017,Monday
2017-08-31 00:00:00,0,August,2017,Thursday
2017-09-02 00:00:00,0,September,2017,Saturday
2017-09-04 00:00:00,0,September,2017,Monday
2017-09-06 00:00:00,0,September,2017,Wednesday
2017-09-10 00:00:00,0,September,2017,Sunday
2017-09-12 00:00:00,0,September,2017,Tuesday
2017-09-15 00:00:00,0,September,2017,Friday
2017-09-18 00:00:00,0,September,2017,Monday
2017-09-21 00:00:00,0,September,2017,Thursday
2017-09-24 00:00:00,0,September,2017,Sunday
2017-09-27 00:00:00,0,September,2017,Wednesday
2017-09-30 00:00:00,0,September,2017,Saturday
2017-10-02 00:00:00,0,October,2017,Monday
2017-10-06 00:00:00,0,October,2017,Friday
2017-10-08 00:00:00,0,October,2017,Sunday
2017-10-11 00:00:00,0,October,2017,Wednesday
2017-10-14 00:00:00,0,October,2017,Saturday
2017-10-18 00:00:00,0,October,2017,Wednesday
2017-10-22 00:00:00,0,October,2017,Sunday
2017-10-25 00:00:00,0,October,2017,Wednesday
2017-10-27 00:00:00,0,October,2017,Friday
2017-10-30 00:00:00,0,October,2017,Monday
2017-11-01 00:00:00,0,November,2017,Wednesday
2017-11-04 00:00:00,0,November,2017,Saturday
2017-11-08 00:00:00,0,November,2017,Wednesday
2017-11-11 00:00:00,0,November,2017,Saturday
2017-11-14 00:00:00,0,November,2017,Tuesday
2017-11-17 00:00:00,0,November,2017,Friday
2017-11-22 00:00:00,0,November,2017,Wednesday
2017-11-26 00:00:00,0,November,2017,Sunday
2017-11-28 00:00:00,0,November,2017,Tuesday
2017-12-01 00:00:00,0,December,2017,Friday
2017-12-05 00:00:00,0,December,2017,Tuesday
2017-12-09 00:00:00,0,December,2017,Saturday
2017-12-13 00:00:00,0,December,2017,Wednesday
2017-12-19 00:00:00,0,December,2017,Tuesday
2017-12-22 00:00:00,0,December,2017,Friday
2017-12-26 00:00:00,0,December,2017,Tuesday
2017-12-29 00:00:00,0,December,2017,Friday
2017-12-31 00:00:00,0,December,2017,Sunday
2018-01-03 00:00:00,0,January,2018,Wednesday
2018-01-07 00:00:00,0,January,2018,Sunday
2018-01-12 00:00:00,0,January,2018,Friday
2018-01-18 00:00:00,0,January,2018,Thursday
2018-01-23 00:00:00,0,January,2018,Tuesday
2018-01-26 00:00:00,0,January,2018,Friday
2018-01-30 00:00:00,0,January,2018,Tuesday
2018-02-05 00:00:00,0,February,2018,Monday
2018-02-11 00:00:00,0,February,2018,Sunday
2018-02-15 00:00:00,0,February,2018,Thursday
2018-02-19 00:00:00,0,February,2018,Monday
2018-02-25 00:00:00,0,February,2018,Sunday
2018-03-02 00:00:00,0,March,2018,Friday
2018-03-07 00:00:00,0,March,2018,Wednesday
2018-03-12 00:00:00,0,March,2018,Monday
2018-03-16 00:00:00,0,March,2018,Friday
2018-03-22 00:00:00,0,March,2018,Thursday
2018-03-28 00:00:00,0,March,2018,Wednesday
2018-04-01 00:00:00,0,April,2018,Sunday
2018-04-07 00:00:00,0,April,2018,Saturday
2018-04-13 00:00:00,0,April,2018,Friday
2018-04-19 00:00:00,0,April,2018,Thursday
2018-04-24 00:00:00,0,April,2018,Tuesday
2018-04-29 00:00:00,0,April,2018,Sunday
2018-05-05 00:00:00,0,May,2018,Saturday
2018-05-11 00:00:00,0,May,2018,Friday
2018-05-16 00:00:00,0,May,2018,Wednesday
2018-05-21 00:00:00,0,May,2018,Monday
2018-05-29 00:00:00,0,May,2018,Tuesday
2018-06-04 00:00:00,0,June,2018,Monday
2018-06-10 00:00:00,0,June,2018,Sunday
2018-06-18 00:00:00,0,June,2018,Monday
2018-06-24 00:00:00,0,June,2018,Sunday
2018-06-30 00:00:00,0,June,2018,Saturday
2018-07-08 00:00:00,0,July,2018,Sunday
2018-07-13 00:00:00,0,July,2018,Friday
2018-07-18 00:00:00,0,July,2018,Wednesday
2018-07-26 00:00:00,0,July,2018,Thursday
2018-08-01 00:00:00,0,August,2018,Wednesday
2018-08-07 00:00:00,0,August,2018,Tuesday
2018-08-12 00:00:00,0,August,2018,Sunday
2018-08-17 00:00:00,0,August,2018,Friday
2018-08-22 00:00:00,0,August,2018,Wednesday
2018-08-28 00:00:00,0,August,2018,Tuesday
2018-09-02 00:00:00,0,September,2018,Sunday
2018-09-09 00:00:00,0,September,2018,Sunday
2018-09-16 00:00:00,0,September,2018,Sunday
2018-09-23 00:00:00,0,September,2018,Sunday
2018-09-30 00:00:00,0,September,2018,Sunday
2018-10-08 00:00:00,0,October,2018,Monday
2018-10-16 00:00:00,0,October,2018,Tuesday
2018-10-22 00:00:00,0,October,2018,Monday
2018-10-30 00:00:00,0,October,2018,Tuesday
2018-11-07 00:00:00,0,November,2018,Wednesday
2018-11-14 00:00:00,0,November,2018,Wednesday
2018-11-24 00:00:00,0,November,2018,Saturday
2018-12-04 00:00:00,0,December,2018,Tuesday
2018-12-14 00:00:00,0,December,2018,Friday
2018-12-23 00:00:00,0,December,2018,Sunday
2018-12-31 00:00:00,0,December,2018,Monday
2019-01-11 00:00:00,0,January,2019,Friday
2019-01-21 00:00:00,0,January,2019,Monday
2019-01-30 00:00:00,0,January,2019,Wednesday
2019-02-05 00:00:00,0,February,2019,Tuesday
2019-02-17 00:00:00,0,February,2019,Sunday
2019-03-10 00:00:00,0,March,2019,Sunday
2019-04-01 00:00:00,0,April,2019,Monday
2019-04-22 00:00:00,0,April,2019,Monday
2019-05-19 00:00:00,0,May,2019,Sunday
2019-06-04 00:00:00,0,June,2019,Tuesday
2019-06-29 00:00:00,0,June,2019,Saturday
2019-07-19 00:00:00,0,July,2019,Friday
2019-08-12 00:00:00,0,August,2019,Monday
2019-09-09 00:00:00,0,September,2019,Monday
2019-09-30 00:00:00,0,September,2019,Monday
2019-10-24 00:00:00,0,October,2019,Thursday
2019-11-17 00:00:00,0,November,2019,Sunday
2019-12-14 00:00:00,0,December,2019,Saturday
2020-01-12 00:00:00,0,January,2020,Sunday
2020-01-25 00:00:00,0,January,2020,Saturday
2020-02-25 00:00:00,0,February,2020,Tuesday
2020-03-23 00:00:00,0,March,2020,Monday
2020-04-22 00:00:00,0,April,2020,Wednesday
2020-05-22 00:00:00,0,May,2020,Friday
2020-06-21 00:00:00,0,June,2020,Sunday
2020-07-12 00:00:00,0,July,2020,Sunday
2020-08-19 00:00:00,0,August,2020,Wednesday
2020-09-16 00:00:00,0,September,2020,Wednesday
2020-09-20 00:00:00,0,September,2020,Sunday
2020-10-27 00:00:00,0,October,2020,Tuesday
2020-11-10 00:00:00,0,November,2020,Tuesday
2020-12-03 00:00:00,0,December,2020,Thursday
2020-12-30 00:00:00,0,December,2020,Wednesday
2021-01-08 00:00:00,0,January,2021,Friday
2021-01-20 00:00:00,0,January,2021,Wednesday
2021-01-31 00:00:00,0,January,2021,Sunday
2021-02-16 00:00:00,0,February,2021,Tuesday
2021-03-02 00:00:00,0,March,2021,Tuesday
2021-03-14 00:00:00,0,March,2021,Sunday
2021-03-23 00:00:00,0,March,2021,Tuesday
2021-04-02 00:00:00,0,April,2021,Friday
2021-04-09 00:00:00,0,April,2021,Friday
2021-04-16 00:00:00,0,April,2021,Friday
2021-05-03 00:00:00,0,May,2021,Monday
2021-05-23 00:00:00,0,May,2021,Sunday
2021-06-13 00:00:00,0,June,2021,Sunday
2021-06-26 00:00:00,0,June,2021,Saturday
2021-07-05 00:00:00,0,July,2021,Monday
2021-08-05 00:00:00,0,August,2021,Thursday
2021-09-01 00:00:00,0,September,2021,Wednesday
2021-09-04 00:00:00,0,September,2021,Saturday
2021-09-21 00:00:00,0,September,2021,Tuesday
2021-10-03 00:00:00,0,October,2021,Sunday
2021-10-26 00:00:00,0,October,2021,Tuesday
2021-11-05 00:00:00,0,November,2021,Friday
2021-11-12 00:00:00,0,November,2021,Friday
2021-11-17 00:00:00,0,November,2021,Wednesday
2021-11-25 00:00:00,0,November,2021,Thursday
2021-12-17 00:00:00,0,December,2021,Friday
2022-01-28 00:00:00,0,January,2022,Friday
2022-02-07 00:00:00,0,February,2022,Monday
2022-02-22 00:00:00,0,February,2022,Tuesday
2022-03-03 00:00:00,0,March,2022,Thursday
2022-03-11 00:00:00,0,March,2022,Friday
2022-03-20 00:00:00,0,March,2022,Sunday
2022-03-26 00:00:00,0,March,2022,Saturday
2022-04-09 00:00:00,0,April,2022,Saturday
2022-04-19 00:00:00,0,April,2022,Tuesday
2022-05-18 00:00:00,0,May,2022,Wednesday
2022-06-05 00:00:00,0,June,2022,Sunday
2022-06-21 00:00:00,0,June,2022,Tuesday
2022-07-13 00:00:00,0,July,2022,Wednesday
2022-07-22 00:00:00,0,July,2022,Friday
2022-07-29 00:00:00,0,July,2022,Friday
2022-08-09 00:00:00,0,August,2022,Tuesday
2022-08-17 00:00:00,0,August,2022,Wednesday
2022-09-06 00:00:00,0,September,2022,Tuesday
2022-10-03 00:00:00,0,October,2022,Monday
2022-10-11 00:00:00,0,October,2022,Tuesday
2022-10-25 00:00:00,0,October,2022,Tuesday
2022-11-20 00:00:00,0,November,2022,Sunday
2022-12-20 00:00:00,0,December,2022,Tuesday
2023-01-20 00:00:00,0,January,2023,Friday
2023-02-20 00:00:00,0,February,2023,Monday
2023-11-07 00:00:00,0,November,2023,Tuesday
2023-11-13 00:00:00,0,November,2023,Monday
2023-11-23 00:00:00,0,November,2023,Thursday
2023-11-26 00:00:00,0,November,2023,Sunday
2023-12-02 00:00:00,0,December,2023,Saturday
2023-12-09 00:00:00,0,December,2023,Saturday
2023-12-26 00:00:00,0,December,2023,Tuesday
2023-12-26 00:00:00,0,December,2023,Tuesday
2024-01-08 00:00:00,0,January,2024,Monday
2024-01-13 00:00:00,0,January,2024,Saturday
2024-01-18 00:00:00,0,January,2024,Thursday
2024-01-23 00:00:00,0,January,2024,Tuesday
2024-01-28 00:00:00,0,January,2024,Sunday
2024-02-07 00:00:00,0,February,2024,Wednesday
2024-02-20 00:00:00,0,February,2024,Tuesday
2024-02-25 00:00:00,0,February,2024,Sunday
2024-03-01 00:00:00,0,March,2024,Friday
2024-03-08 00:00:00,0,March,2024,Friday
2024-03-12 00:00:00,0,March,2024,Tuesday
2024-03-28 00:00:00,0,March,2024,Thursday
2024-04-12 00:00:00,0,April,2024,Friday
2024-04-16 00:00:00,0,April,2024,Tuesday
2024-04-21 00:00:00,0,April,2024,Sunday
2024-04-25 00:00:00,0,April,2024,Thursday
2024-04-30 00:00:00,0,April,2024,Tuesday
2024-05-10 00:00:00,0,May,2024,Friday
2024-05-14 00:00:00,0,May,2024,Tuesday
2024-05-21 00:00:00,0,May,2024,Tuesday
2024-05-28 00:00:00,0,May,2024,Tuesday
2024-06-01 00:00:00,0,June,2024,Saturday
2024-06-06 00:00:00,0,June,2024,Thursday
2024-06-12 00:00:00,0,June,2024,Wednesday
2024-06-26 00:00:00,0,June,2024,Wednesday
2024-06-30 00:00:00,0,June,2024,Sunday
2024-07-04 00:00:00,0,July,2024,Thursday
2024-07-10 00:00:00,0,July,2024,Wednesday
2024-07-23 00:00:00,0,July,2024,Tuesday
2024-08-04 00:00:00,0,August,2024,Sunday
2024-08-15 00:00:00,0,August,2024,Thursday
2024-08-25 00:00:00,0,August,2024,Sunday
2024-09-01 00:00:00,0,September,2024,Sunday
2024-09-16 00:00:00,0,September,2024,Monday
2024-09-25 00:00:00,0,September,2024,Wednesday
2024-10-18 00:00:00,0,October,2024,Friday
